scientificName,phyloTreeTipLabel,phyloTreeFileName,^skos:prefLabel,^ot:originalLabel,^ot:ottTaxonName,^ot:taxonLink,^ot:ottId
Duboisia leichhardtii,Duboisia leichhardtii,ot_1003_Tr100305.nex,-,Duboisia leichhardtii,Duboisia leichhardtii,"{'@tb:identifier.taxon': 9638, '@tb:identifier.taxonVariant': 23044, '@ubio': '2669857', '@uniprot': '195736'}",810423
Nicotiana acuminata,Nicotiana acuminata,ot_1003_Tr100305.nex,-,Nicotiana acuminata,Nicotiana acuminata,"{'@tb:identifier.taxon': 19087, '@tb:identifier.taxonVariant': 44427, '@ubio': '2653644', '@uniprot': '4086'}",378999
Solanum aviculare,Solanum aviculare,ot_1003_Tr100305.nex,-,Solanum aviculare,Solanum aviculare,"{'@tb:identifier.taxon': 632145, '@tb:identifier.taxonVariant': 847157, '@ubio': '457602', '@uniprot': '4114'}",494825
Solanum lyratum,Solanum lyratum,ot_1003_Tr100305.nex,-,Solanum lyratum,Solanum lyratum,"{'@tb:identifier.taxon': 209402, '@tb:identifier.taxonVariant': 278206, '@ubio': '5973434', '@uniprot': '230192'}",693272
Schultesianthus leucanthus,Schultesianthus leucanthus,ot_1003_Tr100305.nex,-,Schultesianthus leucanthus,Schultesianthus leucanthus,"{'@tb:identifier.taxon': 429038, '@tb:identifier.taxonVariant': 565252, '@ubio': '9155487', '@uniprot': '540831'}",960291
Solanum asperum,Solanum asperum,ot_1003_Tr100305.nex,-,Solanum asperum,Solanum asperum,"{'@tb:identifier.taxon': 555876, '@tb:identifier.taxonVariant': 736347, '@ubio': '3440695', '@uniprot': '681489'}",651350
Lycium sandwicense,Lycium sandwicense,ot_1003_Tr100305.nex,-,Lycium sandwicense,Lycium sandwicense,"{'@tb:identifier.taxon': 116740, '@tb:identifier.taxonVariant': 195092, '@ubio': '2653629', '@uniprot': '112880'}",194443
Mandragora officinarum,Mandragora officinarum,ot_1003_Tr100305.nex,-,Mandragora officinarum,Mandragora officinarum,"{'@tb:identifier.taxon': 59765, '@tb:identifier.taxonVariant': 132889, '@ubio': '2669861', '@uniprot': '33117'}",232461
Jaltomata herrerae,Jaltomata herrerae,ot_1003_Tr100305.nex,-,Jaltomata herrerae,Jaltomata herrerae,"{'@tb:identifier.taxon': 570321, '@tb:identifier.taxonVariant': 790614, '@ubio': '5893823'}",1058971
Solanum colombianum,Solanum colombianum,ot_1003_Tr100305.nex,-,Solanum colombianum,Solanum colombianum,"{'@tb:identifier.taxon': 278962, '@tb:identifier.taxonVariant': 332715, '@ubio': '5866284', '@uniprot': '317821'}",447372
Lycianthes multiflora,Lycianthes multiflora,ot_1003_Tr100305.nex,-,Lycianthes multiflora,Lycianthes multiflora,"{'@tb:identifier.taxon': 342855, '@tb:identifier.taxonVariant': 378922, '@ubio': '3440166', '@uniprot': '393156'}",339715
Nicotiana otophora,Nicotiana otophora,ot_1003_Tr100305.nex,-,Nicotiana otophora,Nicotiana otophora,"{'@tb:identifier.taxon': 50904, '@tb:identifier.taxonVariant': 120499, '@ubio': '3440274', '@uniprot': '4091'}",222781
Nolana mollis,Nolana mollis,ot_1003_Tr100305.nex,-,Nolana mollis,Nolana mollis,"{'@tb:identifier.taxon': 95043, '@tb:identifier.taxonVariant': 174214, '@ubio': '5991345', '@uniprot': '84193'}",1001624
Duboisia hopwoodii,Duboisia hopwoodii,ot_1003_Tr100305.nex,-,Duboisia hopwoodii,Duboisia hopwoodii,"{'@tb:identifier.taxon': 429012, '@tb:identifier.taxonVariant': 565205, '@ubio': '2669856', '@uniprot': '540800'}",434595
Solanum glabratum,Solanum glabratum,ot_1003_Tr100305.nex,-,Solanum glabratum,Solanum glabratum,"{'@tb:identifier.taxon': 546232, '@tb:identifier.taxonVariant': 724378, '@ubio': '9211955', '@uniprot': '666132'}",331175
Solanum felinum,Solanum felinum,ot_1003_Tr100305.nex,-,Solanum felinum,Solanum felinum,"{'@tb:identifier.taxon': 27178, '@tb:identifier.taxonVariant': 63457, '@ubio': '5974278', '@uniprot': '238981'}",835023
Melananthus guatemalensis,Melananthus guatemalensis,ot_1003_Tr100305.nex,-,Melananthus guatemalensis,Melananthus guatemalensis,"{'@tb:identifier.taxon': 429024, '@tb:identifier.taxonVariant': 565235, '@ubio': '3440254', '@uniprot': '540816'}",1011298
Lycianthes inaequilatera,Lycianthes inaequilatera,ot_1003_Tr100305.nex,-,Lycianthes inaequilatera,Lycianthes inaequilatera,"{'@tb:identifier.taxon': 35219, '@tb:identifier.taxonVariant': 81626, '@ubio': '3440175', '@uniprot': '362375'}",655930
Solanum centrale,Solanum centrale,ot_1003_Tr100305.nex,-,Solanum centrale,Solanum centrale,"{'@tb:identifier.taxon': 349405, '@tb:identifier.taxonVariant': 382896, '@ubio': '9233786', '@uniprot': '400990'}",361002
Solanum andreanum,Solanum andreanum,ot_1003_Tr100305.nex,-,Solanum andreanum,Solanum andreanum,"{'@tb:identifier.taxon': 276748, '@tb:identifier.taxonVariant': 330620, '@ubio': '3440806', '@uniprot': '315332'}",46930
Solanum bolivianum,Solanum bolivianum,ot_1003_Tr100305.nex,-,Solanum bolivianum,Solanum bolivianum,"{'@tb:identifier.taxon': 604547, '@tb:identifier.taxonVariant': 806739, '@ubio': '3440419'}",1086161
Solanum albicans,Solanum albicans,ot_1003_Tr100305.nex,-,Solanum albicans,Solanum albicans,"{'@tb:identifier.taxon': 276749, '@tb:identifier.taxonVariant': 330622, '@ubio': '5864184', '@uniprot': '315333'}",46928
Solanum elaeagnifolium,Solanum elaeagnifolium,ot_1003_Tr100305.nex,-,Solanum elaeagnifolium,Solanum elaeagnifolium,"{'@tb:identifier.taxon': 27175, '@tb:identifier.taxonVariant': 63452, '@ubio': '2653527', '@uniprot': '115664'}",399742
Lycianthes beckneriana,Lycianthes beckneriana,ot_1003_Tr100305.nex,-,Lycianthes beckneriana,Lycianthes beckneriana,"{'@tb:identifier.taxon': 342846, '@tb:identifier.taxonVariant': 378913, '@ubio': '9152363', '@uniprot': '393147'}",914551
Tzeltalia amphitricha,Tzeltalia amphitricha,ot_1003_Tr100305.nex,-,Tzeltalia amphitricha,Tzeltalia amphitricha,"{'@tb:identifier.taxon': 30161, '@tb:identifier.taxonVariant': 70420, '@ubio': '5981228', '@uniprot': '304114'}",839486
Solanum lanceifolium,Solanum lanceifolium,ot_1003_Tr100305.nex,-,Solanum lanceifolium,Solanum lanceifolium,"{'@tb:identifier.taxon': 604560, '@tb:identifier.taxonVariant': 806752, '@ubio': '2653561'}",464542
Trianaea speciosa,Trianaea speciosa,ot_1003_Tr100305.nex,-,Trianaea speciosa,Trianaea speciosa,"{'@tb:identifier.taxon': 619641, '@tb:identifier.taxonVariant': 829729, '@ubio': '9185106'}",5521814
Nolana inflata,Nolana inflata,ot_1003_Tr100305.nex,-,Nolana inflata,Nolana inflata,"{'@tb:identifier.taxon': 95040, '@tb:identifier.taxonVariant': 174211, '@ubio': '5957963', '@uniprot': '84190'}",899680
Solanum aphyodendron,Solanum aphyodendron,ot_1003_Tr100305.nex,-,Solanum aphyodendron,Solanum aphyodendron,"{'@tb:identifier.taxon': 27128, '@tb:identifier.taxonVariant': 63349, '@ubio': '5970588', '@uniprot': '205530'}",311886
Solanum fructo-tecto,Solanum fructotecto,ot_1003_Tr100305.nex,-,Solanum fructotecto,Solanum fructo-tecto,-,348206
Lycium schweinfurthii,Lycium schweinfurthii,ot_1003_Tr100305.nex,-,Lycium schweinfurthii,Lycium schweinfurthii,"{'@tb:identifier.taxon': 362385, '@tb:identifier.taxonVariant': 390419, '@ubio': '5944246', '@uniprot': '416539'}",86088
Cestrum macrophyllum,Cestrum macrophyllum,ot_1003_Tr100305.nex,-,Cestrum macrophyllum,Cestrum macrophyllum,"{'@tb:identifier.taxon': 429008, '@tb:identifier.taxonVariant': 565197, '@ubio': '2771308', '@uniprot': '540795'}",445283
Solanum paludosum,Solanum paludosum,ot_1003_Tr100305.nex,-,Solanum paludosum,Solanum paludosum,"{'@tb:identifier.taxon': 604564, '@tb:identifier.taxonVariant': 806756, '@ubio': '3440549'}",766363
Lycium depressum,Lycium depressum,ot_1003_Tr100305.nex,-,Lycium depressum,Lycium depressum,"{'@tb:identifier.taxon': 362374, '@tb:identifier.taxonVariant': 390402, '@ubio': '5892488', '@uniprot': '416528'}",660399
Solanum tenuispinum,Solanum tenuispinum,ot_1003_Tr100305.nex,-,Solanum tenuispinum,Solanum tenuispinum,"{'@tb:identifier.taxon': 27279, '@tb:identifier.taxonVariant': 63659, '@ubio': '3440435', '@uniprot': '238979'}",510734
Solanum hexandrum,Solanum hexandrum,ot_1003_Tr100305.nex,-,Solanum hexandrum,Solanum hexandrum,"{'@tb:identifier.taxon': 604535, '@tb:identifier.taxonVariant': 806727, '@ubio': '3440682'}",991004
Deprea parviflora,Larnax parviflora,ot_1003_Tr100305.nex,-,Larnax parviflora,Deprea parviflora,"{'@tb:identifier.taxon': 118760, '@tb:identifier.taxonVariant': 197110, '@ubio': '5960791', '@uniprot': '115734'}",903496
Solanum tobagense,Solanum tobagense,ot_1003_Tr100305.nex,-,Solanum tobagense,Solanum tobagense,"{'@tb:identifier.taxon': 40218, '@tb:identifier.taxonVariant': 93354, '@ubio': '5993470', '@uniprot': '265419'}",509416
Nolana ramosissima,Nolana ramosissima,ot_1003_Tr100305.nex,-,Nolana ramosissima,Nolana ramosissima,"{'@tb:identifier.taxon': 95046, '@tb:identifier.taxonVariant': 174217, '@ubio': '5991346', '@uniprot': '84196'}",1001613
Nothocestrum longifolium,Nothocestrum longifolium,ot_1003_Tr100305.nex,-,Nothocestrum longifolium,Nothocestrum longifolium,"{'@tb:identifier.taxon': 429030, '@tb:identifier.taxonVariant': 565241, '@ubio': '2653688', '@uniprot': '540823'}",383969
Solanum angustialatum,Solanum angustialatum,ot_1003_Tr100305.nex,-,Solanum angustialatum,Solanum angustialatum,"{'@tb:identifier.taxon': 564512, '@tb:identifier.taxonVariant': 785365, '@ubio': '9123797', '@uniprot': '0'}",515084
Solanum hoplopetalum,Solanum hoplopetalum,ot_1003_Tr100305.nex,-,Solanum hoplopetalum,Solanum hoplopetalum,"{'@tb:identifier.taxon': 34290, '@tb:identifier.taxonVariant': 79159, '@ubio': '9233207', '@uniprot': '368033'}",518434
Bouchetia erecta,Bouchetia erecta,ot_1003_Tr100305.nex,-,Bouchetia erecta,Bouchetia erecta,"{'@tb:identifier.taxon': 41312, '@tb:identifier.taxonVariant': 96295, '@ubio': '2653578', '@uniprot': '274392'}",324478
Leucophysalis viscosa,Leucophysalis viscosa,ot_1003_Tr100305.nex,-,Leucophysalis viscosa,Leucophysalis viscosa,"{'@tb:identifier.taxon': 15851, '@tb:identifier.taxonVariant': 37172, '@ubio': '5981227', '@uniprot': '304111'}",839473
Solanum calileguae,Solanum calileguae,ot_1003_Tr100305.nex,-,Solanum calileguae,Solanum calileguae,"{'@tb:identifier.taxon': 27142, '@tb:identifier.taxonVariant': 63383, '@ubio': '5970589', '@uniprot': '205534'}",311876
Lycium barbarum,Lycium barbarum,ot_1003_Tr100305.nex,-,Lycium barbarum,Lycium barbarum,"{'@tb:identifier.taxon': 116724, '@tb:identifier.taxonVariant': 195077, '@ubio': '2667971', '@uniprot': '112863'}",40038
Nolana chapiensis,Nolana chapiensis,ot_1003_Tr100305.nex,-,Nolana chapiensis,Nolana chapiensis,"{'@tb:identifier.taxon': 395087, '@tb:identifier.taxonVariant': 784073}",131385
Deprea orinocensis,Deprea orinocensis,ot_1003_Tr100305.nex,-,Deprea orinocensis,Deprea orinocensis,"{'@tb:identifier.taxon': 127389, '@tb:identifier.taxonVariant': 204949, '@ubio': '5863694', '@uniprot': '126899'}",245272
Solanum crotonoides,Solanum crotonoides,ot_1003_Tr100305.nex,-,Solanum crotonoides,Solanum crotonoides,"{'@tb:identifier.taxon': 27165, '@tb:identifier.taxonVariant': 63427, '@ubio': '5983840', '@uniprot': '329770'}",14207
Solanum urticans,Solanum urticans,ot_1003_Tr100305.nex,-,Solanum urticans,Solanum urticans,"{'@tb:identifier.taxon': 604544, '@tb:identifier.taxonVariant': 806736, '@ubio': '3440677'}",141370
Solanum mapiriense,Solanum mapiriense,ot_1003_Tr100305.nex,-,Solanum mapiriense,Solanum mapiriense,"{'@tb:identifier.taxon': 27214, '@tb:identifier.taxonVariant': 63535, '@ubio': '3440688', '@uniprot': '205563'}",785126
Solanum ochranthum,Solanum ochranthum,ot_1003_Tr100305.nex,-,Solanum ochranthum,Solanum ochranthum,"{'@tb:identifier.taxon': 632173, '@tb:identifier.taxonVariant': 847185, '@ubio': '1800979', '@uniprot': '154974'}",98033
Solanum raphanifolium,Solanum raphanifolium,ot_1003_Tr100305.nex,-,Solanum raphanifolium,Solanum raphanifolium,"{'@tb:identifier.taxon': 162014, '@tb:identifier.taxonVariant': 561173, '@ubio': '5862811', '@uniprot': '172264'}",218594
Lycium oxycarpum,Lycium oxycarpum,ot_1003_Tr100305.nex,-,Lycium oxycarpum,Lycium oxycarpum,"{'@tb:identifier.taxon': 301703, '@tb:identifier.taxonVariant': 350397, '@ubio': '5892484', '@uniprot': '343888'}",596951
Solanum chacoense,Solanum chacoense,ot_1003_Tr100305.nex,-,Solanum chacoense,Solanum chacoense,"{'@tb:identifier.taxon': 27151, '@tb:identifier.taxonVariant': 63398, '@ubio': '5862472', '@uniprot': '4108'}",1020653
Nicotiana linearis,Nicotiana linearis,ot_1003_Tr100305.nex,-,Nicotiana linearis,Nicotiana linearis,"{'@tb:identifier.taxon': 121186, '@tb:identifier.taxonVariant': 198996, '@ubio': '5862063', '@uniprot': '118701'}",733966
Schizanthus litoralis,Schizanthus litoralis,ot_1003_Tr100305.nex,-,Schizanthus litoralis,Schizanthus litoralis,"{'@tb:identifier.taxon': 315569, '@tb:identifier.taxonVariant': 360793, '@ubio': '5985525', '@uniprot': '360633'}",668615
Nolana arequipensis,Nolana arequipensis,ot_1003_Tr100305.nex,-,Nolana arequipensis,Nolana arequipensis,"{'@tb:identifier.taxon': 395090, '@tb:identifier.taxonVariant': 784074}",131401
Solanum dimorphispinum,Solanum dimorphispinum,ot_1003_Tr100305.nex,-,Solanum dimorphispinum,Solanum dimorphispinum,"{'@tb:identifier.taxon': 619558, '@tb:identifier.taxonVariant': 829637, '@ubio': '9108496'}",939576
Physalis pruinosa,Physalis pruinosa,ot_1003_Tr100305.nex,-,Physalis pruinosa,Physalis pruinosa,"{'@tb:identifier.taxon': 22186, '@tb:identifier.taxonVariant': 51589, '@ubio': '2776002', '@uniprot': '304161'}",364768
Oryctes nevadensis,Oryctes nevadensis,ot_1003_Tr100305.nex,-,Oryctes nevadensis,Oryctes nevadensis,"{'@tb:identifier.taxon': 19973, '@tb:identifier.taxonVariant': 46471, '@ubio': '2653653', '@uniprot': '304124'}",264832
Petunia mantiqueirensis,Petunia mantiqueirensis,ot_1003_Tr100305.nex,-,Petunia mantiqueirensis,Petunia mantiqueirensis,"{'@tb:identifier.taxon': 283620, '@tb:identifier.taxonVariant': 336731, '@ubio': '5912962', '@uniprot': '323108'}",341973
Calibrachoa parviflora,Calibrachoa parviflora,ot_1003_Tr100305.nex,-,Calibrachoa parviflora,Calibrachoa parviflora,"{'@tb:identifier.taxon': 308151, '@tb:identifier.taxonVariant': 355701, '@ubio': '2665884', '@uniprot': '352208'}",196189
Schizanthus integrifolius,Schizanthus integrifolius,ot_1003_Tr100305.nex,-,Schizanthus integrifolius,Schizanthus integrifolius,"{'@tb:identifier.taxon': 315566, '@tb:identifier.taxonVariant': 360787, '@ubio': '5985522', '@uniprot': '360630'}",713323
Solanum rovirosanum,Solanum rovirosanum,ot_1003_Tr100305.nex,-,Solanum rovirosanum,Solanum rovirosanum,"{'@tb:identifier.taxon': 27265, '@tb:identifier.taxonVariant': 63631, '@ubio': '5862964', '@uniprot': '205577'}",210912
Jaltomata procumbens,Jaltomata procumbens,ot_1003_Tr100305.nex,-,Jaltomata procumbens,Jaltomata procumbens,"{'@tb:identifier.taxon': 14825, '@tb:identifier.taxonVariant': 34840, '@ubio': '2667660', '@uniprot': '45845'}",590332
Capsicum campylopodium,Capsicum campylopodium,ot_1003_Tr100305.nex,-,Capsicum campylopodium,Capsicum campylopodium,"{'@tb:identifier.taxon': 397345, '@tb:identifier.taxonVariant': 406662, '@ubio': '5891453', '@uniprot': '462287'}",1021807
Solanum rigescentoides,Solanum rigescentoides,ot_1003_Tr100305.nex,-,Solanum rigescentoides,Solanum rigescentoides,"{'@tb:identifier.taxon': 619591, '@tb:identifier.taxonVariant': 829670, '@ubio': '9165962'}",192050
Lycianthes moziniana,Lycianthes moziniana,ot_1003_Tr100305.nex,-,Lycianthes moziniana,Lycianthes moziniana,"{'@tb:identifier.taxon': 342854, '@tb:identifier.taxonVariant': 378921, '@ubio': '5880728', '@uniprot': '393155'}",339708
Solanum asterophorum,Solanum asterophorum,ot_1003_Tr100305.nex,-,Solanum asterophorum,Solanum asterophorum,"{'@tb:identifier.taxon': 604538, '@tb:identifier.taxonVariant': 806730, '@ubio': '3440866'}",364022
Symonanthus aromaticus,Symonanthus aromaticus,ot_1003_Tr100305.nex,-,Symonanthus aromaticus,Symonanthus aromaticus,"{'@tb:identifier.taxon': 28334, '@tb:identifier.taxonVariant': 66076, '@ubio': '5969253', '@uniprot': '195742'}",134188
Solanum microdontum,Solanum microdontum,ot_1003_Tr100305.nex,-,Solanum microdontum,Solanum microdontum,"{'@tb:identifier.taxon': 87049, '@tb:identifier.taxonVariant': 165813, '@ubio': '5862786', '@uniprot': '73574'}",887245
Solanum linnaeanum,Solanum linnaeanum,ot_1003_Tr100305.nex,-,Solanum linnaeanum,Solanum linnaeanum,"{'@tb:identifier.taxon': 27208, '@tb:identifier.taxonVariant': 63517, '@ubio': '2788285', '@uniprot': '329777'}",14220
Sclerophylax gilliesii,Sclerophylax gilliesii,ot_1003_Tr100305.nex,-,Sclerophylax gilliesii,Sclerophylax gilliesii,"{'@tb:identifier.taxon': 429035, '@tb:identifier.taxonVariant': 565249, '@ubio': '9223713', '@uniprot': '540833'}",960295
Solanum stagnale,Solanum stagnale,ot_1003_Tr100305.nex,-,Solanum stagnale,Solanum stagnale,"{'@tb:identifier.taxon': 27275, '@tb:identifier.taxonVariant': 63650, '@ubio': '3440426', '@uniprot': '238983'}",835019
Solanum jamaicense,Solanum jamaicense,ot_1003_Tr100305.nex,-,Solanum jamaicense,Solanum jamaicense,"{'@tb:identifier.taxon': 27199, '@tb:identifier.taxonVariant': 63497, '@ubio': '2653534', '@uniprot': '115665'}",399740
Solanum carduiforme,Solanum carduiforme,ot_1003_Tr100305.nex,-,Solanum carduiforme,Solanum carduiforme,"{'@tb:identifier.taxon': 34296, '@tb:identifier.taxonVariant': 79172, '@ubio': '9225291', '@uniprot': '368027'}",1044895
Nolana linearifolia,Nolana linearifolia,ot_1003_Tr100305.nex,-,Nolana linearifolia,Nolana linearifolia,"{'@tb:identifier.taxon': 395099, '@tb:identifier.taxonVariant': 405832, '@ubio': '9382413', '@uniprot': '459195'}",705990
Solanum multiinterruptum,Solanum multiinterruptum,ot_1003_Tr100305.nex,-,Solanum multiinterruptum,Solanum multiinterruptum,"{'@tb:identifier.taxon': 278970, '@tb:identifier.taxonVariant': 332729, '@ubio': '5862777', '@uniprot': '317829'}",447388
Solanum tredecimgranum,Solanum tredecimgranum,ot_1003_Tr100305.nex,-,Solanum tredecimgranum,Solanum tredecimgranum,"{'@tb:identifier.taxon': 619634, '@tb:identifier.taxonVariant': 829722, '@ubio': '9168292'}",3869645
Petunia integrifolia,Petunia integrifolia,ot_1003_Tr100305.nex,-,Petunia integrifolia,Petunia integrifolia,"{'@tb:identifier.taxon': 50910, '@tb:identifier.taxonVariant': 120507, '@ubio': '2653656', '@uniprot': '4103'}",1020641
Cestrum rigidum,Cestrum rigidum,ot_1003_Tr100305.nex,-,Cestrum rigidum,Cestrum rigidum,"{'@tb:identifier.taxon': 408225, '@tb:identifier.taxonVariant': 409993, '@ubio': '3439950', '@uniprot': '481617'}",171405
Dunalia brachyacantha,Dunalia brachyacantha,ot_1003_Tr100305.nex,-,Dunalia brachyacantha,Dunalia brachyacantha,"{'@tb:identifier.taxon': 35215, '@tb:identifier.taxonVariant': 81614, '@ubio': '3410219', '@uniprot': '362345'}",448168
Solanum orbiculatum,Solanum orbiculatum,ot_1003_Tr100305.nex,-,Solanum orbiculatum,Solanum orbiculatum,"{'@tb:identifier.taxon': 349418, '@tb:identifier.taxonVariant': 382910, '@ubio': '9109332', '@uniprot': '401003'}",193894
Hyoscyamus aureus,Hyoscyamus aureus,ot_1003_Tr100305.nex,-,Hyoscyamus aureus,Hyoscyamus aureus,"{'@tb:identifier.taxon': 326604, '@tb:identifier.taxonVariant': 368168, '@ubio': '5873281', '@uniprot': '374038'}",626050
Solanum havanense,Solanum havanense,ot_1003_Tr100305.nex,-,Solanum havanense,Solanum havanense,"{'@tb:identifier.taxon': 27186, '@tb:identifier.taxonVariant': 63468, '@ubio': '5970596', '@uniprot': '205554'}",261798
Solanum multispinum,Solanum multispinum,ot_1003_Tr100305.nex,-,Solanum multispinum,Solanum multispinum,"{'@tb:identifier.taxon': 27224, '@tb:identifier.taxonVariant': 63553, '@ubio': '1800808', '@uniprot': '329788'}",691757
Jaltomata bicolor,Jaltomata bicolor,ot_1003_Tr100305.nex,-,Jaltomata bicolor,Jaltomata bicolor,"{'@tb:identifier.taxon': 570315, '@tb:identifier.taxonVariant': 790597, '@ubio': '9183650'}",482490
Lycium puberulum,Lycium puberulum,ot_1003_Tr100305.nex,-,Lycium puberulum,Lycium puberulum,"{'@tb:identifier.taxon': 127954, '@tb:identifier.taxonVariant': 205503, '@ubio': '2653624', '@uniprot': '127638'}",31869
Jaltomata chotanae,Jaltomata chotanae,ot_1003_Tr100305.nex,-,Jaltomata chotanae,Jaltomata chotanae,-,1058969
Petunia exserta,Petunia exserta,ot_1003_Tr100305.nex,-,Petunia exserta,Petunia exserta,"{'@tb:identifier.taxon': 283627, '@tb:identifier.taxonVariant': 336740, '@ubio': '5912952', '@uniprot': '323115'}",446939
Iochroma squamosum,Iochroma squamosum,ot_1003_Tr100305.nex,-,Iochroma squamosum,Iochroma squamosum,"{'@tb:identifier.taxon': 35197, '@tb:identifier.taxonVariant': 81554, '@ubio': '8948682', '@uniprot': '362372'}",655928
Cestrum oblongifolium,Cestrum oblongifolium,ot_1003_Tr100305.nex,-,Cestrum oblongifolium,Cestrum oblongifolium,"{'@tb:identifier.taxon': 36731, '@tb:identifier.taxonVariant': 85011, '@ubio': '9143410', '@uniprot': '385336'}",317948
Lycium fremontii,Lycium fremontii,ot_1003_Tr100305.nex,-,Lycium fremontii,Lycium fremontii,"{'@tb:identifier.taxon': 127951, '@tb:identifier.taxonVariant': 205499, '@ubio': '2653620', '@uniprot': '127635'}",109764
Solanum mitchellianum,Solanum mitchellianum,ot_1003_Tr100305.nex,-,Solanum mitchellianum,Solanum mitchellianum,"{'@tb:identifier.taxon': 619581, '@tb:identifier.taxonVariant': 829660, '@ubio': '9208762'}",464540
Solanum physalifolium,Solanum physalifolium,ot_1003_Tr100305.nex,-,Solanum physalifolium,Solanum physalifolium,"{'@tb:identifier.taxon': 27243, '@tb:identifier.taxonVariant': 63590, '@ubio': '2669396', '@uniprot': '45836'}",121221
Solanum muricatum,Solanum muricatum,ot_1003_Tr100305.nex,-,Solanum muricatum,Solanum muricatum,"{'@tb:identifier.taxon': 27225, '@tb:identifier.taxonVariant': 63555, '@ubio': '2669878', '@uniprot': '205567'}",785114
Solanum cylindricum,Solanum cylindricum,ot_1003_Tr100305.nex,-,Solanum cylindricum,Solanum cylindricum,"{'@tb:identifier.taxon': 40227, '@tb:identifier.taxonVariant': 93373, '@ubio': '3440655', '@uniprot': '265397'}",280105
Nicotiana raimondii,Nicotiana raimondii,ot_1003_Tr100305.nex,-,Nicotiana raimondii,Nicotiana raimondii,"{'@tb:identifier.taxon': 184582, '@tb:identifier.taxonVariant': 257212, '@ubio': '5862040', '@uniprot': '200312'}",232358
Deprea nieva,Larnax nieva,ot_1003_Tr100305.nex,-,Larnax nieva,Deprea nieva,"{'@tb:identifier.taxon': 619543, '@tb:identifier.taxonVariant': 829622, '@ubio': '9144779'}",903506
Solanum pseudocapsicum,Solanum pseudocapsicum,ot_1003_Tr100305.nex,-,Solanum pseudocapsicum,Solanum pseudocapsicum,"{'@tb:identifier.taxon': 632131, '@tb:identifier.taxonVariant': 847143, '@ubio': '457629', '@uniprot': '45837'}",121218
Solanum taeniotrichum,Solanum taeniotrichum,ot_1003_Tr100305.nex,-,Solanum taeniotrichum,Solanum taeniotrichum,"{'@tb:identifier.taxon': 632185, '@tb:identifier.taxonVariant': 847197, '@ubio': '9163958', '@uniprot': '315331'}",46932
Solanum thomasiifolium,Solanum thomasiifolium,ot_1003_Tr100305.nex,-,Solanum thomasiifolium,Solanum thomasiifolium,"{'@tb:identifier.taxon': 604577, '@tb:identifier.taxonVariant': 806769, '@ubio': '3440698'}",715550
Lycium tenue,Lycium tenue,ot_1003_Tr100305.nex,-,Lycium tenue,Lycium tenue,"{'@tb:identifier.taxon': 149242, '@tb:identifier.taxonVariant': 225055, '@ubio': '5992278', '@uniprot': '155083'}",814776
Physalis heterophylla,Physalis heterophylla,ot_1003_Tr100305.nex,-,Physalis heterophylla,Physalis heterophylla,"{'@tb:identifier.taxon': 22169, '@tb:identifier.taxonVariant': 51549, '@ubio': '2653667', '@uniprot': '304155'}",940381
Cestrum miradorense,Cestrum miradorense,ot_1003_Tr100305.nex,-,Cestrum miradorense,Cestrum miradorense,"{'@tb:identifier.taxon': 36733, '@tb:identifier.taxonVariant': 85015, '@ubio': '9113875', '@uniprot': '385334'}",317964
Nicotiana knightiana,Nicotiana knightiana,ot_1003_Tr100305.nex,-,Nicotiana knightiana,Nicotiana knightiana,"{'@tb:identifier.taxon': 121184, '@tb:identifier.taxonVariant': 198993, '@ubio': '5862034', '@uniprot': '118699'}",1031860
Nicotiana cavicola,Nicotiana cavicola,ot_1003_Tr100305.nex,-,Nicotiana cavicola,Nicotiana cavicola,"{'@tb:identifier.taxon': 121176, '@tb:identifier.taxonVariant': 198984, '@ubio': '5845866', '@uniprot': '118690'}",1031846
Montinia,Montinia,ot_1003_Tr100304.nex,-,Montinia,Montinia,"{'@tb:identifier.taxon': 18112, '@tb:identifier.taxonVariant': 42386, '@ubio': '244044', '@uniprot': '23083'}",642540
Grammosolen dixonii,Grammosolen dixonii,ot_1003_Tr100305.nex,-,Grammosolen dixonii,Grammosolen dixonii,"{'@tb:identifier.taxon': 12515, '@tb:identifier.taxonVariant': 29690, '@ubio': '1800414', '@uniprot': '195739'}",810434
Solanum clarkiae,Solanum clarkiae,ot_1003_Tr100305.nex,-,Solanum clarkiae,Solanum clarkiae,"{'@tb:identifier.taxon': 27156, '@tb:identifier.taxonVariant': 63410, '@ubio': '5983838', '@uniprot': '329767'}",535383
Nolana pallida,Nolana pallida,ot_1003_Tr100305.nex,-,Nolana pallida,Nolana pallida,"{'@tb:identifier.taxon': 395100, '@tb:identifier.taxonVariant': 405834, '@ubio': '9381835', '@uniprot': '459196'}",705984
Eriolarynx fasciculata,Eriolarynx fasciculata,ot_1003_Tr100305.nex,-,Eriolarynx fasciculata,Eriolarynx fasciculata,"{'@tb:identifier.taxon': 316955, '@tb:identifier.taxonVariant': 361710, '@ubio': '10296475', '@uniprot': '362351'}",240240
Solanum pallidum,Solanum pallidum,ot_1003_Tr100305.nex,-,Solanum pallidum,Solanum pallidum,"{'@tb:identifier.taxon': 619586, '@tb:identifier.taxonVariant': 829665, '@ubio': '3440818'}",3869985
