scientificName,phyloTreeTipLabel,phyloTreeFileName,^skos:prefLabel,^ot:originalLabel,^ot:ottTaxonName,^ot:taxonLink,^ot:ottId
Physochlaina praealta,Physochlaina praealta,ot_1003_Tr100305.nex,-,Physochlaina praealta,Physochlaina praealta,"{'@tb:identifier.taxon': 601955, '@tb:identifier.taxonVariant': 802601, '@ubio': '9178318'}",855649
Lycianthes biflora,Lycianthes biflora,ot_1003_Tr100305.nex,-,Lycianthes biflora,Lycianthes biflora,"{'@tb:identifier.taxon': 218457, '@tb:identifier.taxonVariant': 285145, '@ubio': '1800483', '@uniprot': '241757'}",27696
Capsicum cardenasii,Capsicum cardenasii,ot_1003_Tr100305.nex,-,Capsicum cardenasii,Capsicum cardenasii,"{'@tb:identifier.taxon': 157200, '@tb:identifier.taxonVariant': 232513, '@ubio': '5828470', '@uniprot': '165698'}",408632
Lycium chilense,Lycium chilense,ot_1003_Tr100305.nex,-,Lycium chilense,Lycium chilense,"{'@tb:identifier.taxon': 149240, '@tb:identifier.taxonVariant': 225053, '@ubio': '3440222', '@uniprot': '155081'}",814797
Jaltomata bohsiana,Jaltomata bohsiana,ot_1003_Tr100305.nex,-,Jaltomata bohsiana,Jaltomata bohsiana,-,482494
Solanum vicinum,Solanum vicinum,ot_1003_Tr100305.nex,-,Solanum vicinum,Solanum vicinum,"{'@tb:identifier.taxon': 619636, '@tb:identifier.taxonVariant': 829724, '@ubio': '8400049'}",141368
Solanum lamprocarpum,Solanum lamprocarpum,ot_1003_Tr100305.nex,-,Solanum lamprocarpum,Solanum lamprocarpum,"{'@tb:identifier.taxon': 619575, '@tb:identifier.taxonVariant': 829654, '@ubio': '9222253'}",991014
Tzeltalia calidaria,Tzeltalia calidaria,ot_1003_Tr100305.nex,-,Tzeltalia calidaria,Tzeltalia calidaria,"{'@tb:identifier.taxon': 30162, '@tb:identifier.taxonVariant': 70421, '@ubio': '5981230', '@uniprot': '304115'}",839484
Athenaea pogogena,Athenaea pogogena,ot_1003_Tr100305.nex,-,Athenaea pogogena,Athenaea pogogena,"{'@tb:identifier.taxon': 619534, '@tb:identifier.taxonVariant': 829610, '@ubio': '3439837'}",5521807
Solanum violaceum,Solanum violaceum,ot_1003_Tr100305.nex,-,Solanum violaceum,Solanum violaceum,"{'@tb:identifier.taxon': 27300, '@tb:identifier.taxonVariant': 63699, '@ubio': '5983855', '@uniprot': '329803'}",701412
Solanum habrochaites,Solanum habrochaites,ot_1003_Tr100305.nex,-,Solanum habrochaites,Solanum habrochaites,"{'@tb:identifier.taxon': 79800, '@tb:identifier.taxonVariant': 157633, '@ubio': '8717920', '@uniprot': '62890'}",885264
Solanum glutinosum,Solanum glutinosum,ot_1003_Tr100305.nex,-,Solanum glutinosum,Solanum glutinosum,"{'@tb:identifier.taxon': 27184, '@tb:identifier.taxonVariant': 63466, '@ubio': '1801068', '@uniprot': '329774'}",14216
Nicotiana occidentalis,Nicotiana occidentalis,ot_1003_Tr100305.nex,-,Nicotiana occidentalis,Nicotiana occidentalis,"{'@tb:identifier.taxon': 184583, '@tb:identifier.taxonVariant': 257213, '@ubio': '5866199', '@uniprot': '200313'}",232360
Scopolia japonica,Scopolia japonica,ot_1003_Tr100305.nex,-,Scopolia japonica,Scopolia japonica,"{'@tb:identifier.taxon': 202078, '@tb:identifier.taxonVariant': 272306, '@ubio': '3440377', '@uniprot': '221162'}",435703
Solanum accrescens,Solanum accrescens,ot_1003_Tr100305.nex,-,Solanum accrescens,Solanum accrescens,"{'@tb:identifier.taxon': 27115, '@tb:identifier.taxonVariant': 63321, '@ubio': '3440500', '@uniprot': '205522'}",886489
Solanum clandestinum,Solanum clandestinum,ot_1003_Tr100305.nex,-,Solanum clandestinum,Solanum clandestinum,"{'@tb:identifier.taxon': 305380, '@tb:identifier.taxonVariant': 353546, '@ubio': '10287050', '@uniprot': '348168'}",1063229
Lycium minimum,Lycium minimum,ot_1003_Tr100305.nex,-,Lycium minimum,Lycium minimum,"{'@tb:identifier.taxon': 362381, '@tb:identifier.taxonVariant': 390412, '@ubio': '9105296', '@uniprot': '416535'}",86069
Lycianthes furcatistellata,Lycianthes furcatistellata,ot_1003_Tr100305.nex,-,Lycianthes furcatistellata,Lycianthes furcatistellata,"{'@tb:identifier.taxon': 342849, '@tb:identifier.taxonVariant': 378916, '@ubio': '9117888', '@uniprot': '393150'}",339700
Jaborosa integrifolia,Jaborosa integrifolia,ot_1003_Tr100305.nex,-,Jaborosa integrifolia,Jaborosa integrifolia,"{'@tb:identifier.taxon': 149238, '@tb:identifier.taxonVariant': 225051, '@ubio': '2667652', '@uniprot': '155079'}",650754
Solanum jabrense,Solanum jabrense,ot_1003_Tr100305.nex,-,Solanum jabrense,Solanum jabrense,"{'@tb:identifier.taxon': 604539, '@tb:identifier.taxonVariant': 806731, '@ubio': '3440596'}",991012
Lycium pallidum,Lycium pallidum,ot_1003_Tr100305.nex,-,Lycium pallidum,Lycium pallidum,"{'@tb:identifier.taxon': 116736, '@tb:identifier.taxonVariant': 195089, '@ubio': '2653622', '@uniprot': '112876'}",560940
Solanum tenuipes,Solanum tenuipes,ot_1003_Tr100305.nex,-,Solanum tenuipes,Solanum tenuipes,"{'@tb:identifier.taxon': 537262, '@tb:identifier.taxonVariant': 712717}",872803
Solanum oplocense,Solanum oplocense,ot_1003_Tr100305.nex,-,Solanum oplocense,Solanum oplocense,"{'@tb:identifier.taxon': 278971, '@tb:identifier.taxonVariant': 332731, '@ubio': '5862800', '@uniprot': '317830'}",1023758
Lycianthes sanctaeclarae,Lycianthes sanctaeclarae,ot_1003_Tr100305.nex,-,Lycianthes sanctaeclarae,Lycianthes sanctaeclarae,"{'@tb:identifier.taxon': 342864, '@tb:identifier.taxonVariant': 378931, '@ubio': '9152528', '@uniprot': '393165'}",864332
Capsicum flexuosum,Capsicum flexuosum,ot_1003_Tr100305.nex,-,Capsicum flexuosum,Capsicum flexuosum,"{'@tb:identifier.taxon': 218454, '@tb:identifier.taxonVariant': 285141, '@ubio': '5891428', '@uniprot': '241754'}",27704
