otuId,scientificName,phyloTreeTipLabel,phyloTreeFileName,dynamicProperties,^ot:ottTaxonName,^ot:ottId,^ot:originalLabel
otu3293,Melaniparus guineensis,Melaniparus guineensis,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Melaniparus guineensis', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Melaniparus guineensis,4131701,Melaniparus guineensis
otu3294,Melaniparus leucomelas,Melaniparus leucomelas,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Melaniparus leucomelas', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Melaniparus leucomelas,4131693,Melaniparus leucomelas
otu3295,Melaniparus fasciiventer,Melaniparus fasciiventer,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Melaniparus fasciiventer', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Melaniparus fasciiventer,4131703,Melaniparus fasciiventer
otu3296,Melaniparus griseiventris,Melaniparus griseiventris,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Melaniparus griseiventris', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Melaniparus griseiventris,4131702,Melaniparus griseiventris
otu3297,Melaniparus funereus,Melaniparus funereus,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Melaniparus funereus', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Melaniparus funereus,4131696,Melaniparus funereus
otu3298,Melaniparus cinerascens,Melaniparus cinerascens,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Melaniparus cinerascens', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Melaniparus cinerascens,4131692,Melaniparus cinerascens
otu3299,Melaniparus afer,Melaniparus afer,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Melaniparus afer', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Melaniparus afer,4131698,Melaniparus afer
otu33,Cyphorhinus arada,Cyphorhinus arada,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Cyphorhinus arada', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Cyphorhinus arada,881734,Cyphorhinus arada
otu330,Cyornis pelingensis,Cyornis pelingensis,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Cyornis pelingensis', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Cyornis pelingensis,6520269,Cyornis pelingensis
otu3300,Melaniparus leuconotus,Melaniparus leuconotus,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Melaniparus leuconotus', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Melaniparus leuconotus,4131700,Melaniparus leuconotus
otu3301,Melaniparus thruppi,Melaniparus thruppi,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Melaniparus thruppi', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Melaniparus thruppi,4131695,Melaniparus thruppi
otu3302,Melaniparus fringillinus,Melaniparus fringillinus,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Melaniparus fringillinus', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Melaniparus fringillinus,4131699,Melaniparus fringillinus
otu3303,Cyanistes cyanus,Cyanistes cyanus,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Cyanistes cyanus', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Cyanistes cyanus,222479,Cyanistes cyanus
otu3304,Cyanistes caeruleus,Cyanistes caeruleus,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Cyanistes caeruleus', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Cyanistes caeruleus,746120,Cyanistes caeruleus
otu3305,Cyanistes teneriffae,Cyanistes teneriffae,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Cyanistes teneriffae', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Cyanistes teneriffae,808982,Cyanistes teneriffae
otu3306,Pardaliparus venustulus,Periparus venustulus,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Periparus venustulus', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Pardaliparus venustulus,24855,Periparus venustulus
otu3307,Pardaliparus amabilis,Periparus amabilis,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Periparus amabilis', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Pardaliparus amabilis,509775,Periparus amabilis
otu3308,Pardaliparus elegans,Periparus elegans,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Periparus elegans', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Pardaliparus elegans,222474,Periparus elegans
otu3309,Periparus ater,Periparus ater,['ot_2343_tree1.nex'],"[{'phyloTreeTipLabel': 'Periparus ater', 'phyloTreeFileName': 'ot_2343_tree1.nex'}]",Periparus ater,746130,Periparus ater
